Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
73,92642;87,48892;4,564885;28,08498;86,37096;3,159744;1,161481;1,8;4,031022;2,291131;1,8;1,222578;2,72954;196,0736;45,00002;4,403907;241,915;8,563019E-07;1;1;1;1;1;1
133,851;87,48892;4,564885;84,2635;86,37096;3,159741;-2,906245;1,8;3,025214;0,2595708;1,8;2,583909;2,729538;136,149;0;4,403902;185,7365;45;1;1;1;1;1;1
-135;87,48892;4,564884;-71,48626;86,37097;3,159741;-2,966325;1,799999;-2,966325;0,8246039;1,799999;-2,462518;2,729534;45;90;4,403899;341,4863;90;1;1;1;1;1;1
-8,656754;87,48892;4,564888;-29,35775;86,37099;3,159746;4,147231;1,8;-0,6314123;2,263413;1,799999;-1,27317;2,729544;278,6567;135;4,403877;299,3578;135;1;1;1;1;1;1
174,2176;87,48892;4,564889;140,4281;86,37097;3,159745;-4,173677;1,8;0,4226509;-2,001772;1,8;1,654357;2,729541;95,78238;225;4,403896;129,5719;180;1;1;1;1;1;1
-60,25512;87,48892;4,564893;-100,6457;86,4724;3,250477;2,081316;1,8;-3,642303;-0,5;1,8;-2,66;2,729533;330,2551;180;4,226125;10,64567;225;1;1;1;1;1;1
-100,498;87,48827;4,563687;-58,80357;91,55016;3,696566;-0,7641025;1,799999;-4,123516;1,75;1,5;-2,89;2,730385;10,49804;270;358,3046;328,8036;315;1;1;1;1;1;1
41,37147;87,48952;4,565989;20,84915;91,13841;5,033309;3,149012;1,8;2,773442;4,49;1,5;1,71;2,728765;228,6285;315;358,8076;249,1508;270;1;1;1;1;1;1
-162,0915;91,30405;4,394064;-166,166;91,13734;5,037996;-3,93;1,5;-1,27;-4,67;1,5;-1,15;358,613;72,09148;180;358,8089;76,166;135;1;1;1;1;1;1
101,2201;87,21131;4,110763;82,23483;87,50084;4,586643;-0,7191069;1,799999;3,625088;0,57;1,8;4,18;3,097621;168,7799;270;2,714254;187,7652;225;1;1;1;1;1;1
