Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
69;-11;3,959436;33;-2147483648;5,02793;1,362374;0,2;3,712286;3,857786;2;2,529341;0,01316046;0,9817862;0,07405959;0,03071208;0,8780196;0,05686089;1;1;1;1;1;1
146;-8;3,631494;116;-2147483648;4,375928;-3,030804;0,3;1,977871;-1,74;1,9;3,53711;-0,0390724;0,8763844;0,07215455;-0,01709768;0,9712117;0,07349086;1;1;1;1;1;1
229;-6;3,159166;178;-2147483648;3,454031;-2,028207;0,4;-2,388871;-2,946142;1,8;0,1028461;-0,08865675;0,3432004;0,03255964;-0,06962342;0,7157135;0,0720963;1;1;1;1;1;1
-44;6;4,199929;-82;-2147483648;3,571311;2,969983;0,5;-2,927218;0,4345875;1,6;-3,163131;-0,06585652;-0,3850458;-0,02755884;-0,0925274;-0,06792136;-0,006326527;1;1;1;1;1;1
49;17;5,252531;-23;-2147483648;4,463277;3,411896;0,6;3,94817;3,873661;1,4;-1,719184;0,01995674;0,9356478;0,05361531;-0,05890442;-0,5437871;-0,03830247;1;1;1;1;1;1
93;18;3,286777;59;57;4,437262;-0,1712866;0,8;3,183325;2,186107;1,2;3,670181;0,003839774;0,9893829;-0,142826;0,01850084;0,9617967;0,06721333;1;1;1;1;1;1
171;19;2,4247;128;27;2,93059;-2,186433;1;0,3141368;-1,716318;1;2,154671;-0,08659531;0,749081;0,09992615;-0,03531973;0,938554;0,1010288;1;1;1;1;1;1
260;43;3,100348;202;7;2,413935;-0,4688033;1,2;-2,819996;-2,103677;0,8;-0,8727107;-0,1029069;0,0818351;0,008495457;-0,1068136;0,5507446;0,07132858;1;1;1;1;1;1
-37;81;3,881206;-60;6;3,323446;2,861112;1,4;-2,217612;1,603692;0,6;-2,848414;-0,07366391;-0,4386218;-0,03610447;-0,087678;-0,2525455;-0,02298557;1;1;1;1;1;1
-5;-2147483648;3,251081;-29;2;3,453604;2,815223;1,6;-0,2899125;2,967691;0,5;-1,694162;-0,07741171;-0,6662596;-0,06984922;-0,07506114;-0,5002144;-0,04358085;1;1;1;1;1;1
-3;-2147483648;4,716383;12;0;3,940896;4,350475;1,8;-0,2786293;3,830883;0,4;0,8336654;-0,0498397;-0,6825371;-0,04674979;-0,04759623;-0,776422;-0,05906796;1;1;1;1;1;1
