Phi;Theta;Radius;Phi2;Theta2;Radius2;PositionX;PositionY;PositionZ;PositionX2;PositionY2;PositionZ2;RotationX;RotationY;RotationZ;RotationX2;RotationY2;RotationZ2;ScaleX;ScaleY;ScaleZ;ScaleX2;ScaleY2;ScaleZ2
148,7114;91,02351;4,559424;26,95716;91,02348;4,559424;-3,673855;1,518557;2,232738;3,831992;1,518559;1,94889;358,7713;121,2886;0;358,7713;243,0428;0;1;1;1;1;1;1
169,9913;91,02351;4,559424;11,36662;91,02348;4,559424;-4,233682;1,518557;0,7471758;4,214787;1,518559;0,8472946;358,7713;100,0087;-1,067463E-07;358,7713;258,6334;1,067462E-07;1;1;1;1;1;1
-169,4621;91,02351;4,559424;-3,927425;91,02348;4,559424;-4,2266;1,518557;-0,7862461;4,289012;1,518559;-0,2944581;358,7713;79,4621;0;358,7713;273,9274;0;1;1;1;1;1;1
-145,7893;91,02351;4,559424;-20,59681;91,02348;4,559424;-3,555257;1,518557;-2,417122;4,024306;1,518559;-1,512381;358,7713;55,78928;0;358,7713;290,5968;0;1;1;1;1;1;1
69,84734;110,82;3,938858;33,25068;85,14336;4,72461;1,355275;0,1999996;3,692943;3,579623;1,999999;2,346965;351,3723;200,1527;1,079432E-07;352,5894;236,7493;-2,152413E-07;1;1;1;1;1;1
146,872;109,0502;3,982893;116,1938;86,33313;4,690773;-3,326005;0,2999981;2,170515;-1,893093;1,9;3,848319;350,587;123,128;90;351,345;153,806;180;1;1;1;1;1;1
-130,332;107,2232;4,052771;178,0007;87,53854;4,656846;-2,610212;0,399998;-3,07437;-4,292292;1,799999;0,1498387;349,161;40,332;180;348,4956;91,99931;4,356391E-07;1;1;1;1;1;1
-44,58451;105,4644;4,125424;-82,17702;90;4,588028;2,916533;0,4999991;-2,874537;0,5852857;1,6;-4,259982;351,812;314,584;270;349,357;352,177;180;1;1;1;1;1;1
49,16736;103,836;4,181603;-23,9323;92,53776;4,51693;2,705857;0,5999995;3,131157;3,925274;1,4;-1,742091;353,441;220,833;180;351,9419;293,9323;-4,311438E-07;1;1;1;1;1;1
93,07997;100,3483;4,286565;-29,72069;105,4932;4,117945;-0,2259576;0,8299993;4,199368;3,54978;0,4999998;-2,026458;16,429;176,92;90;350,041;299,721;180;1;1;1;1;1;1
171,824;97,90681;4,361667;-60,61996;103,868;4,172129;-4,202333;0,9999992;0,6037691;2,02557;0,5999994;-3,597739;344,803;98,176;270;349,5991;330,62;-2,170092E-07;1;1;1;1;1;1
-99,43867;95,16645;4,442013;53,76855;102,2909;4,227824;-0,7013693;1,199999;-4,218953;2,46436;0,7000003;3,363246;348,146;9,439003;270;352,005;210,78;180;1;1;1;1;1;1
-37,77882;92,53777;4,516927;128,5393;97,90681;4,361667;3,394285;1,4;-2,630868;-2,645156;0,9999991;3,320736;350,589;307,779;90;347,7123;141,4607;0;1;1;1;1;1;1
-5,879612;90;4,588028;12,27713;107,1647;4,066154;4,27738;1,6;-0,4404859;3,953892;0,4;0,8604345;348,03;275,88;180;351,299;257,723;90;1;1;1;1;1;1
-3,664545;87,53854;4,65685;-157,4689;100,7907;4,273004;4,286129;1,799999;-0,2745082;-3,877063;0,7999977;-1,6084;352,163;273,665;90;345,241;67,46899;180;1;1;1;1;1;1
