Phi;Theta;Phi2;Theta2
80;120;-80;120
65;90;-65;90
40;150;-40;150
25;60;-25;60
120;90;-120;90
110;140;-110;40
60;90;-60;90
30;90;-30;90
20;90;-20;90
40;90;-40;90
40;90;-40;100
40;90;-40;110
40;90;-40;120
40;90;-40;80
40;90;-40;70
40;90;-40;90
40;90;-40;100
40;90;-40;120
40;90;-40;130
40;90;-40;60
30;90;-30;70
55;90;-55;90
20;90;-20;110
70;90;-70;80
60;90;-60;120
10;90;-10;90
25;90;-25;70
35;90;-35;130
80;90;-80;80
110;90;-110;90
10;90;-55;110
50;90;-20;95
70;90;-60;75
35;90;-110;60
45;90;-80;100
80;90;-45;90
110;90;-35;80
60;90;-70;70
20;90;-50;110
55;90;-10;80
10;90;-40;90
20;90;-30;90
40;90;-10;90
65;90;15;90
80;90;30;100
70;90;20;100
55;90;5;80
30;90;-20;80
25;90;-25;90
5;90;-45;90
